questions,links,notes,TAGS,semanticsearch,client,id,diagram
כמה מפגעים תוקנו בחודש האחרון?,,0,"מפגעיםמפגעת,תוקנו,תיקנו,חודש,בחודש,החודש,אחרון,האחרון     ",כמה מפגעים תוקנו בחודש האחרון?:0,בני ברק,17,
מהי הסטטיסטיקה של מפגעים לפי שכונות?,,8,"מפגעים,מפגע,לפי,עפי,עפ״י,שכונות,השכונות,בשכונות  ",מהי הסטטיסטיקה של מפגעים לפי שכונות?:8,בני ברק,18,
מהי הסטטיסטיקה של מפגעים לפי אזורים בעיר?,,94,"מפגעים,מפגע,לפי,עפי,עפ״י,אזורים,האזורים,באזורים,אזור,עיר,ערים ",מהי הסטטיסטיקה של מפגעים לפי אזורים בעיר?:94,בני ברק,19,
כמה תלונות על מפגעים התקבלו היום?,,15,"מפגעים,מפגע,תלונות,תלונה,התקבלו,התקבלה,הגיעו,הגיעה,היום,מהיום,כמה   ",כמה תלונות על מפגעים התקבלו היום?:15,בני ברק,20,
כמה תלונות על מפגעים טופלו היום?,,6,"מפגעים,מפגע,תלונות,תלונה,להתלונן,טופלו,טופל,היום,מהיום,כמה   ",כמה תלונות על מפגעים טופלו היום?:6,בני ברק,21,
כמה מפגעים פתוחים יש כרגע?,,965,"מפגעים,מפגע,פתוחים,פתוח,כרגע,יש,קיימים    ",כמה מפגעים פתוחים יש כרגע?:965,בני ברק,22,"categories = [מפגע כביש,מפגע מדרכה,מפגע ריהוט,מפגע תברואה,מפגע תמרור ]values = [490,467,1,6,1]"
כמה מפגעים סגורים (תוקנו) יש כרגע?,,6,"מפגעים,מפגע,סגורים,סגור,תוקנו,מתוקן,תקין,כרגע,ברגע זה,עכשיו  ",כמה מפגעים סגורים (תוקנו) יש כרגע?:6,בני ברק,23,
כמה מפגעים יש בכל קטגוריה?,,0,"מפגעים,מפגע,קיימים בקטגוריה,קיים בקטגוריה,קטגוריה,בקטגוריה              ",כמה מפגעים יש בכל קטגוריה?:0,בני ברק,24,"categories = [מפגע כביש,מפגע מדרכה,מפגע ריהוט,מפגע תברואה,מפגע תמרור ]values = [490,467,1,6,1]"
כמה זמן בממוצע לוקח לתקן מפגע?,,44,"מפגעים,מפגע,זמן,פרק זמן,ממוצע,בממוצע,לתקן,תיקון     ",כמה זמן בממוצע לוקח לתקן מפגע?:44,בני ברק,25,
מהו המפגע החמור ביותר שזוהה היום?,,בור בכביש,"מפגעים,מפגע,חמור ביותר,החמור,זוהה,זיהוי,היום,יום     ",מהו המפגע החמור ביותר שזוהה היום?:בור בכביש,בני ברק,26,
מהו המפגע החמור ביותר שזוהה השבוע?,,25,"מפגעים,מפגע,חמור ביותר,החמור,זוהה,זיהוי,השבוע,בשבוע,שבוע     ",מהו המפגע החמור ביותר שזוהה השבוע?:25,בני ברק,27,
כמה מפגעי מדרכה נותרו ללא טיפול?,,1,"מפגעים,מפגע,מדרכה,במדרכה,נותרו,נשארו,ללא,לא,טיפול,טופלו      ",כמה מפגעי מדרכה נותרו ללא טיפול?:1,בני ברק,28,
כמה מפגעי כביש תוקנו היום?,,42,"מפגעים,מפגע,כביש,בכביש,תיקנו,תוקנו,מתוקנים,תקינים,תקין,מתוקן,היום,יום      ",כמה מפגעי כביש תוקנו היום?:42,בני ברק,29,
שכונות עם הכי הרבה מפגעים?,,"כהנמן,סובב עירייה,מרכז העיר","מפגעים,מפגע,הרבה מפגעים,הרבה,שכונות עם מפגעים,שכונה,שכונות,כמות גדולה של מפגעים,כמות,גדולה,מספר גדול של מפגעים,מספר,גדול","שכונות עם הכי הרבה מפגעים?:כהנמן,סובב עירייה,מרכז העיר",בני ברק,30,
מהן השכונות עם הכי מעט מפגעים?,,"פרדס כץֿ,ארזים,א.ת בסר","מפגעים,מפגע,מעט מפגעים,שכונות עם מעט מפגעים,שכונות,שכונה,כמות קטנה של מפגעים,כמות,קטנה,קטן,מספר קטן של מפגעים,מספר","מהן השכונות עם הכי מעט מפגעים?:פרדס כץֿ,ארזים,א.ת בסר",בני ברק,31,
כמה מפגעים נותרו מיום האתמול?,,17,"מפגעים,מפגע,נותרו,נשארו,אתמול,מאתמול,האתמול         ",כמה מפגעים נותרו מיום האתמול?:17,בני ברק,32,
כמה מפגעים דווחו יותר מפעם אחת?,,2,"מפגעים,מפגע,דווחו,דיווחו,דוח,יותר,פעם,מפעם,אחת     ",כמה מפגעים דווחו יותר מפעם אחת?:2,בני ברק,33,
מהי הקטגוריה עם הכי הרבה מפגעים?,,מדרכה,"מפגעים,מפגע,הכי הרבה,הכי,הרבה     ",מהי הקטגוריה עם הכי הרבה מפגעים?:מדרכה,בני ברק,34,
מהי הקטגוריה עם הכי מעט מפגעים?,,כביש,"מפגעים,מפגע,הכי מעט,הכי,מעט",מהי הקטגוריה עם הכי מעט מפגעים?:כביש,בני ברק,35,
כמה מפגעים יש במערכת שמחכים לבדיקה?,,5,"מפגעים,מפגע,מערכת,מחכים,מחכה,ממתינים,ממתין,בדיקה,לבדיקה    ",כמה מפגעים יש במערכת שמחכים לבדיקה?:5,בני ברק,36,
גרף של כמות המפגעים,,965,"גרף,גרף מפגעים,גרף כמות מפגעים,גרפים,גרף של מפגעים","categories = [מפגע כביש,מפגע מדרכה,מפגע ריהוט,מפגע תברואה,מפגע תמרור ]values = [490,467,1,6,1]",בני ברק,37,"categories = [מפגע כביש,מפגע מדרכה,מפגע ריהוט,מפגע תברואה,מפגע תמרור ]values = [490,467,1,6,1]"
,,,,,,,
,,,,,,,
,,,,,,,
אובייקט,COUNTA of אובייקט,,,,,,
,0,,,,,,
מפגע כביש,490,,,,,,
מפגע מדרכה,467,,,,,,
מפגע ריהוט,1,,,,,,
מפגע תברואה,6,,,,,,
מפגע תמרור ,1,,,,,,
Grand Total,965,,,,,,
,,,,,,,
דירוג מפגע ,COUNTA of דירוג מפגע ,,,,,,
,0,,,,,,
בינוני,722,,,,,,
קל,201,,,,,,
קשה,42,,,,,,
Grand Total,965,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
כמה מפגעים קיימים בעיר בסהכ,,965,,,,,
,,467,,,,,
כמה מפגעי כביש קיימים,,490,,,,,
כמה מפגעי תמרורים קיימים,,1,,,,,
כמה מפגעי תברואה קיימים,,6,,,,,
כמה מפגעי תאורה וחשמל קיימים,,0,,,,,
כמה מפגעי ריהוט והצללה קיימים,,0,,,,,
כמה מפגעים קשים קיימים,,42,,,,,
כמה מפגעים בינוניים קיימים,,722,,,,,
כמה מפגעים קלים קיימים,,201,,,,,
כמה תמרורים תקולים קיימים ,,1,,,,,
כמה עמודי חסימה תקולים קיימים,,0,,,,,
כמה מפגעים יש ,,965,,,,,
